Ubuntu 18.04.1 LTS
g++ 9.2.1 with -O3
Intel Core i9-9900 @ 3.1GHz, single threaded

Operation	result_nvals	opt3.0_runtime_usec	seq3.0_runtime_usec	seq2.0.2_runtime_usec

IMPLEMENTATION: A*B
C := A+.*B                	413601	14228	18319	6.79627e+06
C := C + A+.*B            	413601	17151	20188	6.89181e+06
C<M,merge> := A+.*B       	413601	9617	20098	6.58332e+06
C<M,replace> := A+.*B     	44830	6027	17362	6.71729e+06
C<M,merge> := C + A+.*B   	44830	7652	19649	6.53923e+06
C<M,replace> := C + A+.*B 	44830	8785	19887	6.67295e+06
C<!M,merge> := A+.*B      	413601	16682	343076	7.71499e+06
C<!M,replace> := A+.*B    	368771	16592	308104	7.69739e+06
C<!M,merge> := C + A+.*B  	368771	17573	373355	7.80115e+06
C<!M,replace> := C + A+.*B	368771	18506	315928	8.28012e+06
C<s(M),merge> := A+.*B    	413601	8862	22071	
C<s(M),replace> := A+.*B  	44830	5770	19092	
C<s(M),merge> := C + A+.*B   	44830	11616	22608	
C<s(M),replace> := C + A+.*B 	44830	7524	19116	
C<!s(M),merge> := A+.*B     	413601 	15862	331938	
C<!s(M),replace> := A+.*B    	368771	18016	289155	
C<!s(M),merge> := C + A+.*B  	368771	21548	357168	
C<!s(M),replace> := C + A+.*B	368771	17337	290589	

IMPLEMENTATION: A'*B
C := A'+.*B                	413601	24575	19228	1.05907e+10
C := C + A'+.*B            	413601	23914	20756	1.04975e+10
C<M,merge> := A'+.*B       	413601	10061	21204	1.03085e+10
C<M,replace> := A+.*B      	44830	6930	18792	
C<M,merge> := C + A'+.*B   	44830	12129	21802	
C<M,replace> := C + A'+.*B 	44830	9170	18136	
C<!M,merge> := A'+.*B      	413601	24873	351930	
C<!M,replace> := A'+.*B    	368771	23142	326782	
C<!M,merge> := C + A'+.*B  	368771	25084	400182	
C<!M,replace> := C + A'+.*B	368771	25461	305521	
C<s(M),merge> := A'+.*B      	413601 	11006	24582	
C<s(M),replace> := A+.*B     	44830 	12749	20212	
C<s(M),merge> := C + A'+.*B  	44830 	8998	23582	
C<s(M),replace> := C + A'+.*B 	44830	8025	20100	
C<!s(M),merge> := A'+.*B      	413601	27676	327496	
C<!s(M),replace> := A'+.*B    	368771	22756	283444
C<!s(M),merge> := C + A'+.*B  	368771	28101	354580	
C<!s(M),replace> := C + A'+.*B	368771	23901	286720	

IMPLEMENTATION: A*B'
C := A+.*B'                	413601	1.91157e+06	1.92264e+06	5.18809e+06
C := C + A+.*B'            	413601	2.00197e+06	1.89916e+06	5.86669e+06
C<M,merge> := A+.*B'       	413601	102858	1.91731e+06	5.44134e+06
C<M,replace> := A+.*B'     	44830	100953	1.91211e+06	4.89272e+06
C<M,merge> := C + A+.*B'   	44830	108823	1.87085e+06	5.12763e+06
C<M,replace> := C + A+.*B' 	44830	109496	1.89146e+06	4.94909e+06
C<!M,merge> := A+.*B'      	413601	1.85566e+06	2.24264e+06	7.26532e+06
C<!M,replace> := A+.*B'    	368771	1.82126e+06	2.19104e+06	7.77947e+06
C<!M,merge> := C + A+.*B'  	368771	1.86196e+06	2.31851e+06	7.97069e+06
C<!M,replace> := C + A+.*B'	368771	1.87124e+06	2.23134e+06	7.55298e+06
C<s(M),merge> := A+.*B'      	413601 	102875	1.93001e+06	
C<s(M),replace> := A+.*B'    	44830 	97274	1.91891e+06	
C<s(M),merge> := C + A+.*B'   	44830	103801	1.94145e+06	
C<s(M),replace> := C + A+.*B' 	44830	107283	1.93083e+06	
C<!s(M),merge> := A+.*B'      	413601	1.8506e+06	2.1814e+06	
C<!s(M),replace> := A+.*B'    	368771	1.88142e+06	2.19568e+06	
C<!s(M),merge> := C + A+.*B'  	368771	1.89935e+06	2.26707e+06	
C<!s(M),replace> := C + A+.*B'	368771	1.8806e+06	2.20845e+06	

IMPLEMENTATION: A'*B'
C := A'+.*B'                	413601	14262	22368	1.18102e+10
C := C + A'+.*B'            	413601	30759	26622	1.14332e+10
C<M,merge> := A'+.*B'       	413601	29904	27211	1.04933e+10
